1	2018	6	27	30464642	30326450	8424.28	3649.23	1
2	2014	12	11	30634849	30406091	8638.78	6899.45	1
3	2009	6	3	30722716	30792101	1191.8	5376.64	0
4	2017	10	25	30098026	30487855	3707.25	7285.56	0
5	2022	5	22	30881309	30940408	8898.3	607.36	1
6	2014	9	14	30619832	30679743	8733.66	3933.37	1
7	2006	5	27	30252540	30398498	580.96	1405.83	0
8	2024	10	16	30652764	30670915	6806.5	4698.51	1
9	2005	6	26	30571287	30170028	8974.73	6268.42	1
10	2019	12	2	30870352	30191484	8105.15	8482.28	0
11	2008	8	18	30166131	30823041	8701.97	1581.04	1
12	2017	4	21	30871075	30628875	882.45	2925.44	0
13	2014	11	7	30472350	30585988	2612.84	7143.48	0
14	2020	3	6	30083490	30087182	9541.6	1490.45	1
15	2018	7	16	30647568	30177933	4374.61	2017.82	1
16	2024	8	19	30235816	30218642	8288.8	9370.28	0
17	2008	7	17	30510885	30096328	4816.6	8229.37	0
18	2013	8	20	30871273	30173428	4614.06	6774.05	0
19	2022	6	28	30372821	30318989	4091.78	7090.73	0
20	2004	6	27	30868178	30713149	239.2	1253.44	0
21	2006	5	26	30193521	30191669	4302.28	7161.25	0
22	2017	7	4	30857008	30551393	9245.47	3848.03	1
23	2000	7	11	30550989	30141418	8925.48	3127.32	1
24	2024	5	17	30194457	30310585	6636.37	4484.1	1
25	2007	4	10	30401813	30495711	2094.36	8833.08	0
26	2002	9	16	30935920	30324506	8627.34	2023.65	1
27	2021	5	3	30895821	30813478	5855.77	7098.67	0
28	2008	8	11	30083276	30753094	8470.57	4523.33	1
29	2007	11	2	30620772	30420490	1708.15	3912.8	0
30	2014	9	14	30352600	30897772	826.79	1768.64	0
31	2020	2	19	30083538	30780615	8806.88	3564.61	1
32	2001	4	18	30418072	30224970	6161.02	3265.76	1
33	2019	7	5	30404954	30491942	9368.79	293.29	1
34	2005	10	3	30586209	30045051	7262.9	3243.68	1
35	2018	10	19	30425051	30008061	7615.21	7051.64	1
36	2004	4	3	30744311	30644920	8594.73	3707.86	1
37	2019	9	10	30104483	30751144	4506.87	5903.75	0
38	2010	1	5	30746251	30330298	7344.53	9621.6	0
39	2018	8	18	30997376	30400133	1391.89	3658.61	0
40	2016	8	24	30036929	30868225	7757.53	8998.42	0
41	2023	5	24	30141780	30833378	4288.3	1364.58	1
42	2015	7	24	30325053	30241117	1336.23	5587.91	0
43	2024	1	27	30365184	30710031	9207.48	9831.53	0
44	2017	4	20	30446036	30068212	4202.43	2137.38	1
45	2014	7	13	30604093	30693303	8972.85	4395.19	1
46	2000	8	26	30206202	30835716	9702.64	7741.5	1
47	2019	2	2	30316201	30202547	1319.83	9505.27	0
48	2002	1	21	30166040	30177658	6962.32	6784.66	1
49	2023	9	28	30169633	30168963	6095.47	2306.1	1
50	2000	8	3	30077188	30854795	7527.6	997.97	1
51	2009	5	10	30627301	30816342	5874.34	2176.09	1
52	2000	6	14	30797185	30680135	8197.17	7789.27	1
53	2010	4	9	30099082	30190818	7825.6	2757.11	1
54	2015	3	13	30948084	30966400	1850.09	4050.77	0
55	2013	11	25	30145787	30982685	2822.38	1273.18	1
56	2016	8	22	30702776	30704167	9396.82	5497.93	1
57	2001	5	28	30226024	30867145	3668.69	8491.61	0
58	2017	12	20	30461024	30293445	1844.12	2647.9	0
59	2005	12	23	30629525	30062742	4359.96	8372.81	0
60	2005	8	20	30012954	30326273	4713.76	606.72	1
61	2007	11	21	30349591	30560028	2390.48	375.93	1
62	2002	11	14	30843676	30427075	9028.7	3198.92	1
63	2011	2	9	30956205	30351505	9983.69	9512.37	1
64	2009	7	20	30915823	30866943	7504.68	8609.17	0
65	2017	3	28	30700743	30481291	6614.88	47.61	1
66	2024	2	22	30709167	30943256	3201.01	1077.65	1
67	2011	9	19	30817616	30223855	5196.2	2654.3	1
68	2005	4	23	30641513	30486211	792.67	588.8	1
69	2021	1	18	30193129	30063937	8696.97	2095.19	1
70	2022	2	6	30168741	30098965	115.33	5263.23	0
71	2019	10	5	30113756	30058115	3896.67	5910.74	0
72	2010	5	15	30041904	30285316	9455.6	1522.76	1
73	2014	1	8	30138480	30655737	5078.82	8047.17	0
74	2016	2	5	30748898	30905930	387.79	3662.49	0
75	2017	10	27	30404984	30240603	2442.06	8570.91	0
76	2005	6	18	30844205	30258720	6784.49	7038.34	0
77	2007	3	6	30184803	30568425	5351.55	8788.57	0
78	2001	10	16	30628983	30699793	2162.76	5818.93	0
79	2020	4	1	30684313	30890433	5145.43	157.57	1
80	2002	12	7	30317675	30855066	8717.97	8045.06	1
81	2008	10	11	30233166	30667409	1334.1	419.47	1
82	2013	7	14	30556760	30440000	6876.02	1081.48	1
83	2017	7	13	30224362	30555322	3406.68	4610.97	0
84	2010	6	10	30522393	30494459	9794.37	1257.04	1
85	2009	11	25	30344162	30145507	8219.94	2454.71	1
86	2010	5	13	30743895	30401688	5440.86	8151.38	0
87	2003	1	7	30531132	30613395	821.48	5247.92	0
88	2013	9	21	30459592	30716062	7201.79	2349.74	1
89	2006	8	26	30315796	30016463	6486.59	3672.11	1
90	2016	10	20	30265065	30123819	8011.76	4514.67	1
91	2014	11	11	30884849	30081381	5908.86	778.37	1
92	2007	6	17	30877727	30826051	4577.83	4793.38	0
93	2001	5	9	30635880	30728000	4724.02	5054.28	0
94	2016	4	16	30624117	30314796	5404.76	8114.61	0
95	2000	12	12	30950831	30431204	6827.47	3103.22	1
96	2008	3	4	30435783	30701652	6158.05	5419.29	1
97	2004	4	11	30576192	30963629	4818.16	4586.31	1
98	2016	7	8	30700690	30744631	682.65	8837.97	0
99	2008	4	20	30543299	30572444	5667.71	3305.13	1
100	2015	4	19	30730411	30334210	7865.09	5849.27	1
101	2012	11	12	30142216	30716939	996.47	2544.53	0
102	2018	8	9	30295593	30774170	5223.85	4206.2	1
103	2013	7	21	30142668	30211884	1019.22	8664.33	0
104	2000	1	14	30716269	30475926	4574.0	6444.02	0
105	2005	12	28	30124249	30953022	9898.12	2139.7	1
106	2008	4	7	30898317	30781435	7833.92	2812.85	1
107	2006	5	24	30320301	30801498	514.53	4882.64	0
108	2007	3	25	30247911	30441544	2819.98	2528.12	1
109	2000	11	26	30817252	30695517	4237.99	4077.58	1
110	2003	11	16	30306642	30791347	4082.96	2223.12	1
111	2023	5	18	30801937	30119593	2330.09	9042.36	0
112	2016	9	10	30774262	30037311	46.74	3011.12	0
113	2022	1	7	30939671	30428469	8406.09	5045.07	1
114	2018	5	9	30216625	30048386	8299.57	9601.14	0
115	2015	4	20	30348144	30978993	6778.47	819.68	1
116	2006	5	23	30466896	30118038	3092.98	3997.05	0
117	2004	4	5	30585279	30928526	5322.66	919.77	1
118	2003	12	7	30265240	30510605	1737.33	4669.87	0
119	2003	10	3	30500806	30336917	8465.27	2181.5	1
120	2001	12	9	30590281	30334745	4835.77	5164.17	0
121	2012	5	20	30098712	30551359	4749.96	5862.43	0
122	2024	5	5	30784395	30063123	1227.65	4096.37	0
123	2009	6	16	30082345	30566513	5760.67	2245.23	1
124	2016	11	22	30709315	30721937	7779.16	9768.56	0
125	2021	4	25	30534105	30301561	7834.09	6965.64	1
126	2021	8	8	30708418	30503893	1519.29	2577.61	0
127	2006	5	20	30840654	30724213	4141.58	9417.05	0
128	2005	1	21	30772139	30459082	9777.43	5503.56	1
129	2005	12	26	30340023	30338198	772.43	3338.43	0
130	2005	12	2	30073109	30646596	3962.07	9621.29	0
131	2002	9	15	30601180	30892027	5418.38	7540.39	0
132	2022	12	26	30651432	30184365	3451.01	6710.23	0
133	2003	10	9	30300469	30066038	4706.49	8825.65	0
134	2002	4	9	30248228	30109176	33.47	4875.64	0
135	2006	11	8	30037533	30304321	717.25	7923.74	0
136	2021	6	22	30044031	30741608	2888.96	8043.42	0
137	2023	9	23	30635389	30080581	5687.45	1193.13	1
138	2018	7	4	30111862	30261885	6749.64	8146.47	0
139	2022	3	16	30346224	30969429	6181.24	5300.8	1
140	2024	12	15	30736182	30609662	5484.92	9591.98	0
141	2010	9	17	30184311	30145870	7890.04	7239.19	1
142	2023	11	17	30612134	30359369	7558.83	6772.42	1
143	2002	6	9	30905441	30228503	6133.63	1167.42	1
144	2000	5	15	30493826	30477287	9054.59	4381.02	1
145	2001	7	19	30701722	30629279	3452.86	6950.56	0
146	2019	3	4	30996997	30512634	5243.18	2159.98	1
147	2018	10	7	30428732	30691512	786.58	4805.77	0
148	2005	1	14	30031662	30289713	6791.28	6945.14	0
149	2010	5	24	30123194	30467321	2547.39	973.46	1
150	2023	7	3	30206611	30958529	8793.73	814.81	1
151	2021	4	15	30652060	30781996	9266.75	6343.91	1
152	2000	7	5	30982760	30137038	978.51	7946.47	0
153	2001	1	20	30869191	30772829	6130.74	2094.41	1
154	2001	11	5	30781636	30940886	7091.52	2459.93	1
155	2010	4	9	30785456	30806280	728.99	4628.81	0
156	2002	6	9	30997613	30877822	5973.12	4500.32	1
157	2009	4	14	30496262	30004849	7684.23	5001.41	1
158	2021	12	22	30714771	30601334	7605.4	4479.37	1
159	2003	9	11	30880250	30519492	3704.75	5443.1	0
160	2000	6	20	30150503	30193119	8362.97	7696.24	1
161	2002	9	21	30503069	30843616	8096.77	5879.13	1
162	2010	12	13	30859313	30363245	6700.73	5258.85	1
163	2002	3	16	30404382	30660711	7167.81	1148.47	1
164	2004	10	19	30649582	30570594	7985.79	4259.55	1
165	2009	6	23	30934703	30509815	6514.56	4636.42	1
166	2000	10	9	30641048	30579975	3398.57	5665.95	0
167	2007	3	6	30128932	30474663	7207.54	9764.64	0
168	2020	3	24	30307982	30824445	5500.76	4015.33	1
169	2019	7	16	30242547	30406043	689.9	8734.95	0
170	2017	9	2	30609075	30087814	5627.01	7610.05	0
171	2004	1	13	30839834	30624539	268.94	2168.38	0
172	2022	8	22	30189137	30409633	7952.04	7679.81	1
173	2006	7	25	30844842	30133649	7047.03	6153.81	1
174	2001	9	17	30239159	30070317	1738.75	7174.75	0
175	2021	2	28	30705162	30888771	2935.82	905.58	1
176	2014	12	22	30623687	30833298	5918.11	4514.98	1
177	2003	3	27	30504192	30080733	9661.18	8101.04	1
178	2015	4	5	30373907	30307536	5733.41	3302.08	1
179	2001	9	25	30748600	30219119	8328.5	6025.73	1
180	2018	3	16	30284862	30610917	8999.38	9952.37	0
181	2013	12	5	30410845	30324201	9508.05	4228.71	1
182	2015	6	4	30523462	30523950	8474.5	3139.27	1
183	2007	4	17	30929311	30958785	9948.68	3389.38	1
184	2001	12	1	30003497	30192345	8764.71	4211.59	1
185	2018	1	2	30497172	30417471	5592.77	8191.65	0
186	2021	3	26	30228393	30713118	8731.05	4535.14	1
187	2013	7	18	30330462	30597030	8312.72	7122.1	1
188	2008	6	16	30740483	30604384	907.28	6414.76	0
189	2018	12	14	30405596	30023695	7253.74	1518.46	1
190	2023	12	17	30909960	30458247	7688.93	6254.64	1
191	2006	8	4	30618215	30678295	1648.97	9330.26	0
192	2015	10	19	30424072	30937020	8703.77	430.55	1
193	2013	10	12	30029860	30178748	3111.83	9195.19	0
194	2008	9	18	30790324	30233367	5760.03	6825.56	0
195	2017	8	19	30579240	30977611	5164.51	8948.49	0
196	2013	12	16	30528000	30062084	8796.48	9462.75	0
